timestamp,elapsed_s,som_power_mW,som_current_mA,som_voltage_mV,pl_temp_C
18:31:48,0,5610,1077,5045,33
18:31:51,3,5090,1168,5045,33
18:31:53,5,5090,1006,5045,33
18:31:56,8,5530,1095,5045,33
18:31:58,10,5440,1078,5045,32
18:32:00,12,8310,1647,5043,34
18:32:03,15,5100,1010,5045,32
18:32:05,17,5430,1077,5045,34
18:32:08,20,5540,1098,5045,33
18:32:10,22,5550,1077,5043,33
18:32:13,25,5060,1002,5046,32
18:32:15,27,5060,1002,5045,33
18:32:17,29,5060,1002,5045,31
18:32:20,32,5150,1020,5045,33
18:32:22,34,5060,1021,5046,33
18:32:24,36,5060,1005,5045,32
18:32:27,39,5550,1100,5045,33
18:32:29,41,5290,1047,5045,34
18:32:32,44,6880,1093,5046,34
18:32:34,46,6950,1377,5043,34
18:32:36,48,5350,1060,5046,34
18:32:39,51,5500,1090,5045,33
18:32:41,53,5420,1073,5045,33
18:32:44,56,5070,1001,5045,32
18:32:46,58,5060,1002,5046,33
18:32:49,61,5060,1001,5046,33
