DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
2469785.65,157.53,30.16,153.18,485.64,241.93,0,0,0,0,0,
2469775.62,142.28,24.56,128.79,387.66,259.2,0,0,0,0,0,
2469765.59,152.11,15.38,129.11,225.72,241.93,0,0,0,0,0,
2469755.57,185.71,11.23,183.51,185.79,241.93,0,0,0,0,0,
2469745.53,107.97,5.55,106.45,87.56,259.2,0,0,0,0,0,
2469735.50,111.19,4.37,103.57,65.04,241.93,0,0,0,0,0,
2469725.49,18.68,1.56,16.15,19.13,259.2,0,0,0,0,0,
2469715.47,2.2,0.35,0.98,5.66,241.93,0,0,0,0,0,
2469705.45,1.88,0.06,2.1,1,241.93,0,0,0,0,0,
2469695.44,1.63,0.04,2.13,0.98,259.2,0,0,0,0,0,
2469685.42,2.03,0.05,1.62,0.44,241.94,0,0,0,0,0,
2469675.40,2.75,0.05,0.74,0.81,259.2,0,0,0,0,0,
2469665.39,2.91,0.05,1.01,0.77,241.93,0,0,0,0,0,
2469655.36,9.47,0.44,7.71,6.89,241.93,0,0,0,0,0,
2469645.35,17.62,1.12,17.52,17.13,259.2,0,0,0,0,0,
2469635.33,17.16,1.19,16.17,17.34,241.93,0,0,0,0,0,
2469625.30,6.88,0.79,6.37,11.07,259.2,0,0,0,0,0,
2469615.28,3.3,0.08,1.19,1.08,241.95,0,0,0,0,0,
2469605.26,4.24,0.1,1.41,1.11,241.94,0,0,0,0,0,
2469595.23,3.72,0.07,2.02,1.14,259.2,0,0,0,0,0,
2469585.21,2.12,0.06,3.03,1.4,241.93,0,0,0,0,0,
2469575.20,4.66,0.13,4.57,2.27,259.23,0,0,0,0,0,
2469565.17,116.67,3.07,109.81,45.41,241.93,0,0,0,0,0,
2469555.15,184.68,5.85,190.45,98.81,241.93,0,0,0,0,0,
2469545.12,98.13,3.72,94.16,51.6,259.2,0,0,0,0,0,
2469535.10,115.79,5.71,115.61,86.99,241.94,0,0,0,0,0,
2469525.08,52.48,35.1,46.71,556.56,259.2,0,0,0,0,0,
2469515.05,90.94,18.09,86.79,288.77,241.93,0,0,0,0,0,
2469505.02,117.74,4.6,120.38,70.26,241.93,0,0,0,0,0,
2469495.00,222.17,15.17,222.83,238.53,259.2,0,0,0,0,0,
2469484.94,267.47,10.2,266.4,171.06,241.93,0,1112.83,0,1105.36,0,
2469474.90,283.37,10.16,283.74,166.29,259.2,0,546,291.02,539.6,291.02,
2469464.86,70.45,2.61,69.77,39.84,241.93,0,0,0,0,0,
2469454.84,19.74,1.19,17.22,16.93,241.93,0,0,0,0,0,
2469444.82,39.31,4.3,36.49,57.44,259.2,0,0,0,0,0,
2469434.80,50.73,11.27,45.33,175.4,241.93,0,0,0,0,0,
2469424.78,30.3,39.06,26.37,622.56,259.23,0,0,0,0,0,
